ensembl_gene_id	chromosome_name	mgi_symbol	description	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000033044	11	Dhrs7c	dehydrogenase/reductase (SDR family) member 7C [Source:MGI Symbol;Acc:MGI:1915710]	2.23753986463842	3.54804519236688	17.4202508556458	2.99616795831264e-05	0.000619840520035607
ENSMUSG00000001986	X	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]	0.530670931940079	6.21061959918711	17.4109144432056	3.01092080440697e-05	0.000621976537345658
ENSMUSG00000082063	4	Gm12993	predicted gene 12993 [Source:MGI Symbol;Acc:MGI:3650477]	-3.27417825269101	0.687075156999774	17.4032623622507	3.02306659062356e-05	0.000623568522738461
ENSMUSG00000042254	9	Cilp	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase [Source:MGI Symbol;Acc:MGI:2444507]	1.62186376466237	3.97084845599667	17.3955972932624	3.03528235769758e-05	0.000625170253351582
ENSMUSG00000032060	9	Cryab	crystallin, alpha B [Source:MGI Symbol;Acc:MGI:88516]	-0.567217345633168	10.0670053016171	17.3895893583669	3.04489183228143e-05	0.000626231267467896
ENSMUSG00000026494	1	Kif26b	kinesin family member 26B [Source:MGI Symbol;Acc:MGI:2447076]	1.47928463784697	2.29142493899789	17.3731167309933	3.07139633577736e-05	0.000630758835214395
ENSMUSG00000024781	19	Lipa	lysosomal acid lipase A [Source:MGI Symbol;Acc:MGI:96789]	-0.534319776341451	6.23678466835001	17.366770276973	3.0816695631074e-05	0.000631944705882768
ENSMUSG00000078772	4	Gm12353	predicted gene 12353 [Source:MGI Symbol;Acc:MGI:3699710]	-1.26333524476448	2.69435207731839	17.3482030782143	3.1119236775181e-05	0.000637218540788582
ENSMUSG00000030029	6	Lrig1	leucine-rich repeats and immunoglobulin-like domains 1 [Source:MGI Symbol;Acc:MGI:107935]	-0.554092411316707	6.2405782253898	17.3272594320311	3.14640849656477e-05	0.000643342069159321
ENSMUSG00000046027	7	Stard5	StAR-related lipid transfer (START) domain containing 5 [Source:MGI Symbol;Acc:MGI:2156765]	0.56695065495963	6.56908058712982	17.2991358723231	3.19332035493629e-05	0.000651985043979506
ENSMUSG00000030643	7	Rab30	RAB30, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1923235]	-0.867798314796546	4.86186102797976	17.2876575540727	3.21266832753026e-05	0.000654844811901365
NA	NA	NA	NA	-3.17038142149841	0.618087207827295	17.2853036225123	3.21665067425032e-05	0.000654844811901365
ENSMUSG00000044469	17	Tnfaip8l1	tumor necrosis factor, alpha-induced protein 8-like 1 [Source:MGI Symbol;Acc:MGI:1913693]	-0.582812946485368	5.86340057777636	17.2658207912549	3.24980248878938e-05	0.000659875008402441
ENSMUSG00000023031	15	Cela1	chymotrypsin-like elastase family, member 1 [Source:MGI Symbol;Acc:MGI:95314]	0.87214624232671	3.95520182870559	17.2652641750262	3.25075465091827e-05	0.000659875008402441
ENSMUSG00000022803	16	Popdc2	popeye domain containing 2 [Source:MGI Symbol;Acc:MGI:1930150]	1.62824890491518	1.86273440302168	17.2375796674754	3.29846797254163e-05	0.00066859422237074
ENSMUSG00000063146	5	Clip2	CAP-GLY domain containing linker protein 2 [Source:MGI Symbol;Acc:MGI:1313136]	-0.535374550396494	6.41490191719546	17.2244632394119	3.32131881652191e-05	0.000672255985816761
ENSMUSG00000037224	5	Zfyve28	zinc finger, FYVE domain containing 28 [Source:MGI Symbol;Acc:MGI:2684992]	-0.690431304155794	5.25341081006146	17.1687497255664	3.42016716226918e-05	0.000691267455084822
ENSMUSG00000013523	2	Bcas1	breast carcinoma amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1924210]	-0.590629064889364	8.54892592092145	17.1114146583332	3.52498112545504e-05	0.000711428302719353
ENSMUSG00000026579	1	F5	coagulation factor V [Source:MGI Symbol;Acc:MGI:88382]	2.26050208698136	1.2319864641551	17.1081971124125	3.53095787682876e-05	0.000711612127630037
ENSMUSG00000091387	13	Gcnt4	glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase) [Source:MGI Symbol;Acc:MGI:2684919]	2.12391621791671	1.25502619280299	17.0956456668888	3.55437034052712e-05	0.000715304300478288
ENSMUSG00000015401	X	Tmem27	transmembrane protein 27 [Source:MGI Symbol;Acc:MGI:1926234]	-2.92545135078254	0.840764997306794	17.0816650213152	3.58063247275753e-05	0.000719558574317954
ENSMUSG00000002688	12	Prkd1	protein kinase D1 [Source:MGI Symbol;Acc:MGI:99879]	-0.677785729882503	4.6748538830049	17.0696852115516	3.60329122751055e-05	0.000723077598183438
ENSMUSG00000013275	1	Slc41a1	solute carrier family 41, member 1 [Source:MGI Symbol;Acc:MGI:2444823]	-0.650261617037746	5.88015659632128	17.0280942240114	3.68308163962791e-05	0.000737465304856303
ENSMUSG00000032093	9	Cd3e	CD3 antigen, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:88332]	3.86884269163106	0.0541318071891558	17.0268534848798	3.68548902975101e-05	0.000737465304856303
ENSMUSG00000009471	7	Myod1	myogenic differentiation 1 [Source:MGI Symbol;Acc:MGI:97275]	2.14376657146896	1.85311605303611	17.0187835165167	3.70118573218283e-05	0.000739552716642563
ENSMUSG00000085069	4	Gm13111	predicted gene 13111 [Source:MGI Symbol;Acc:MGI:3651882]	-0.785967876057033	5.3467841727443	17.0129004192121	3.71267113989316e-05	0.000740793913381807
ENSMUSG00000026893	2	Gca	grancalcin [Source:MGI Symbol;Acc:MGI:1918521]	-1.1880163436167	2.80758200637599	16.9923701773663	3.75303315293705e-05	0.000747785201408607
ENSMUSG00000003379	7	Cd79a	CD79A antigen (immunoglobulin-associated alpha) [Source:MGI Symbol;Acc:MGI:101774]	2.43933315219749	0.981817004326881	16.9825991130814	3.77239748242444e-05	0.000750578858861417
ENSMUSG00000031144	X	Syp	synaptophysin [Source:MGI Symbol;Acc:MGI:98467]	-1.42300938774757	2.22753401779085	16.9070923892338	3.92546374745808e-05	0.000779929126740362
ENSMUSG00000056220	1	Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent) [Source:MGI Symbol;Acc:MGI:1195256]	0.963003622148372	3.46317084261631	16.9018702781673	3.93627793515172e-05	0.000780973109534974
ENSMUSG00000034881	10	Tbxa2r	thromboxane A2 receptor [Source:MGI Symbol;Acc:MGI:98496]	-0.853667531594178	4.28926255939317	16.8986031591609	3.94305885960217e-05	0.000781215060660531
ENSMUSG00000025216	19	Lbx1	ladybird homeobox homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:104867]	3.46168266647314	0.614160042795743	16.8838351911222	3.97385666600251e-05	0.000786207951934328
ENSMUSG00000090066	3	1110002E22Rik	RIKEN cDNA 1110002E22 gene [Source:MGI Symbol;Acc:MGI:1915066]	1.83716426578078	3.14100721535012	16.8763660931053	3.98952503216419e-05	0.000788197723302538
ENSMUSG00000043153	12	Ispd	isoprenoid synthase domain containing [Source:MGI Symbol;Acc:MGI:1923097]	-0.582122225922187	5.58077472800535	16.8676093339552	4.00797370612474e-05	0.000790493097817285
ENSMUSG00000075703	5	Ept1	ethanolaminephosphotransferase 1 (CDP-ethanolamine-specific) [Source:MGI Symbol;Acc:MGI:107898]	-0.505487265829131	6.460761824391	16.8631686297874	4.01736209656723e-05	0.000790493097817285
ENSMUSG00000020590	12	Snx13	sorting nexin 13 [Source:MGI Symbol;Acc:MGI:2661416]	-0.544139972196063	6.11795475623144	16.8628551346228	4.01802571254746e-05	0.000790493097817285
ENSMUSG00000045629	18	Sh3tc2	SH3 domain and tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:2444417]	-0.596707005564016	6.85164865288046	16.8599288530045	4.02422547095556e-05	0.000790605527140039
ENSMUSG00000042451	1	Mybph	myosin binding protein H [Source:MGI Symbol;Acc:MGI:1858196]	2.72283558039117	1.80030897111909	16.8537453449017	4.03735779175407e-05	0.000791605567611238
ENSMUSG00000060913	3	Trim55	tripartite motif-containing 55 [Source:MGI Symbol;Acc:MGI:3036269]	2.35856115729881	1.6231588333565	16.8522281450474	4.04058654500788e-05	0.000791605567611238
ENSMUSG00000020297	11	Nsg2	neuron specific gene family member 2 [Source:MGI Symbol;Acc:MGI:1202070]	-1.40558914526681	2.40562326224973	16.7672532885341	4.22562759291867e-05	0.000826704607210704
ENSMUSG00000035530	11	Eif1	eukaryotic translation initiation factor 1 [Source:MGI Symbol;Acc:MGI:105125]	-0.594549792827127	9.91258873944791	16.7618243161761	4.23773521049015e-05	0.000827920257326219
ENSMUSG00000021750	14	Fam107a	family with sequence similarity 107, member A [Source:MGI Symbol;Acc:MGI:3041256]	-1.59987140833798	5.02927798331065	16.7459305039633	4.27338225375374e-05	0.000833725007201095
ENSMUSG00000015247	4	Nipsnap3b	nipsnap homolog 3B (C. elegans) [Source:MGI Symbol;Acc:MGI:1913786]	-0.545723981152755	5.46694231082746	16.6768421631257	4.43187214375907e-05	0.000863446712945681
ENSMUSG00000046318	18	Ccbe1	collagen and calcium binding EGF domains 1 [Source:MGI Symbol;Acc:MGI:2445053]	2.17468866868222	0.951185230924762	16.6721658918666	4.44281072173344e-05	0.000864378977952765
ENSMUSG00000039046	2	Usp6nl	USP6 N-terminal like [Source:MGI Symbol;Acc:MGI:2138893]	-0.588486135018541	7.82361431708965	16.6232280066582	4.55892589523429e-05	0.000884849765822342
ENSMUSG00000073563	18	Csnk1g3	casein kinase 1, gamma 3 [Source:MGI Symbol;Acc:MGI:1917675]	-0.481980693414541	7.09551381961381	16.6225205416971	4.56062668509558e-05	0.000884849765822342
ENSMUSG00000073409	17	H2-Q6	histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]	2.43671199779028	1.08941826403756	16.6084086429145	4.59468616405104e-05	0.000890228366157585
ENSMUSG00000021130	12	Galnt16	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 16 [Source:MGI Symbol;Acc:MGI:1917754]	-0.626161340976952	5.90073869180912	16.5382719741479	4.76779539903852e-05	0.000922496170389726
ENSMUSG00000035829	2	Ppp1r26	protein phosphatase 1, regulatory subunit 26 [Source:MGI Symbol;Acc:MGI:2685193]	-0.875879876263776	4.57398252115191	16.52204919042	4.80876101532915e-05	0.000929142585726665
ENSMUSG00000027828	3	Ssr3	signal sequence receptor, gamma [Source:MGI Symbol;Acc:MGI:1914687]	-0.477592931130568	9.2815996165161	16.4818941726098	4.91168879582733e-05	0.000947726545535528
ENSMUSG00000032374	9	Plod2	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:MGI Symbol;Acc:MGI:1347007]	-0.497097172589973	6.43471607530162	16.4696912616642	4.94340477908002e-05	0.000952537817993649
ENSMUSG00000025089	19	Gfra1	glial cell line derived neurotrophic factor family receptor alpha 1 [Source:MGI Symbol;Acc:MGI:1100842]	-0.799513630869482	5.68480600566958	16.4647005998584	4.95643501698627e-05	0.000953740310734331
ENSMUSG00000064080	6	Fbln2	fibulin 2 [Source:MGI Symbol;Acc:MGI:95488]	0.561079183611962	8.27484057842189	16.428638829779	5.05162162102086e-05	0.000970726797680985
ENSMUSG00000022463	15	Srebf2	sterol regulatory element binding factor 2 [Source:MGI Symbol;Acc:MGI:107585]	-0.54263189733068	7.81167734894678	16.4046662744609	5.1159132204332e-05	0.000981738155839141
ENSMUSG00000023153	4	Tmem52	transmembrane protein 52 [Source:MGI Symbol;Acc:MGI:1916921]	3.0746912603148	0.873896938971748	16.3889277798381	5.15856879344165e-05	0.00098857320384004
ENSMUSG00000042895	15	Abra	actin-binding Rho activating protein [Source:MGI Symbol;Acc:MGI:2444891]	1.92770750533187	1.77240141017522	16.3312356947088	5.31801126672696e-05	0.00101773984010509
ENSMUSG00000040653	10	Ppp1r14c	protein phosphatase 1, regulatory (inhibitor) subunit 14c [Source:MGI Symbol;Acc:MGI:1923392]	0.623023489255399	6.55291112819693	16.3041814383443	5.3944783352414e-05	0.00103096921326716
ENSMUSG00000078815	7	Cacng6	calcium channel, voltage-dependent, gamma subunit 6 [Source:MGI Symbol;Acc:MGI:1859168]	2.41668048204388	1.85832517052809	16.2575533169132	5.52887390082441e-05	0.00105521863702283
ENSMUSG00000031591	8	Asah1	N-acylsphingosine amidohydrolase 1 [Source:MGI Symbol;Acc:MGI:1277124]	-0.479787366937638	7.70526621116567	16.2464082100123	5.5614927781296e-05	0.00105876265849861
ENSMUSG00000024654	19	Asrgl1	asparaginase like 1 [Source:MGI Symbol;Acc:MGI:1913764]	-0.500208358884747	6.43846479921674	16.2460591311965	5.56251756226933e-05	0.00105876265849861
ENSMUSG00000000303	8	Cdh1	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]	-0.685183938943484	7.09770746157124	16.2265524296569	5.62008584089229e-05	0.0010682726090259
ENSMUSG00000032932	16	Hspa13	heat shock protein 70 family, member 13 [Source:MGI Symbol;Acc:MGI:1309463]	-0.491303888786225	6.05995030709852	16.1894595514913	5.7312127118446e-05	0.00108792358058488
ENSMUSG00000026393	1	Nek7	NIMA (never in mitosis gene a)-related expressed kinase 7 [Source:MGI Symbol;Acc:MGI:1890645]	-0.596137066785241	6.30483666195633	16.1853092967139	5.74378315840734e-05	0.00108883835392912
ENSMUSG00000029032	4	Arhgef16	Rho guanine nucleotide exchange factor (GEF) 16 [Source:MGI Symbol;Acc:MGI:2446219]	-1.12889137781066	3.26278634554558	16.1819407849516	5.75400621493504e-05	0.00108930627090556
ENSMUSG00000066258	7	Trim12a	tripartite motif-containing 12A [Source:MGI Symbol;Acc:MGI:1923931]	1.25567796942447	2.34404419323646	16.1653801873336	5.80453252319756e-05	0.00109739257541529
ENSMUSG00000025421	18	Hdhd2	haloacid dehalogenase-like hydrolase domain containing 2 [Source:MGI Symbol;Acc:MGI:1924237]	-0.501714835016418	6.34608724333325	16.1163844320602	5.95664651302598e-05	0.00112375313046516
ENSMUSG00000015745	3	Plekho1	pleckstrin homology domain containing, family O member 1 [Source:MGI Symbol;Acc:MGI:1914470]	0.529748917901379	6.78348778909194	16.1153300862991	5.95996356657326e-05	0.00112375313046516
ENSMUSG00000001741	7	Il16	interleukin 16 [Source:MGI Symbol;Acc:MGI:1270855]	-1.47698134757669	4.06026601652168	16.0807429556935	6.0698135705658e-05	0.00114293124967477
ENSMUSG00000026525	1	Opn3	opsin 3 [Source:MGI Symbol;Acc:MGI:1338022]	-1.41987707359928	2.57801461318536	16.0195971572278	6.26902118795117e-05	0.00117886132030991
ENSMUSG00000053886	8	Sh2d4a	SH2 domain containing 4A [Source:MGI Symbol;Acc:MGI:1919531]	-1.33057218737617	2.31556967674056	15.9991073960852	6.33723550940002e-05	0.00118971644547953
ENSMUSG00000024617	18	Camk2a	calcium/calmodulin-dependent protein kinase II alpha [Source:MGI Symbol;Acc:MGI:88256]	1.75826367630578	3.4251808649372	15.9953048948663	6.34997664841012e-05	0.00118971644547953
ENSMUSG00000032372	9	Plscr2	phospholipid scramblase 2 [Source:MGI Symbol;Acc:MGI:1270860]	-1.76572641584446	1.82174246163407	15.9946552924577	6.3521558632423e-05	0.00118971644547953
ENSMUSG00000037656	8	Slc20a2	solute carrier family 20, member 2 [Source:MGI Symbol;Acc:MGI:97851]	-0.726853777710083	6.25695874708833	15.9726070099212	6.42656875846262e-05	0.00120205075033455
ENSMUSG00000008763	3	Man1a2	mannosidase, alpha, class 1A, member 2 [Source:MGI Symbol;Acc:MGI:104676]	-0.506945713148614	7.05181556499398	15.9302097841174	6.5721324005592e-05	0.0012276428700885
ENSMUSG00000056174	4	Col8a2	collagen, type VIII, alpha 2 [Source:MGI Symbol;Acc:MGI:88464]	-0.616816635362429	5.08606088129411	15.9178966039753	6.61502575917934e-05	0.00123401416785116
ENSMUSG00000048497	11	Mmgt2	membrane magnesium transporter 2 [Source:MGI Symbol;Acc:MGI:2448491]	0.566682313641652	5.71004811481926	15.8742857440792	6.76922313810663e-05	0.00126110447507936
ENSMUSG00000074591	3	Ankub1	ankrin repeat and ubiquitin domain containing 1 [Source:MGI Symbol;Acc:MGI:2685256]	-3.3314968605162	0.720532082972707	15.8479439881142	6.86410739779456e-05	0.00127708763730888
ENSMUSG00000041762	2	Gpr155	G protein-coupled receptor 155 [Source:MGI Symbol;Acc:MGI:1915776]	-0.547807902229702	6.44888907783307	15.843341581211	6.88082225400443e-05	0.00127850410320106
ENSMUSG00000040613	6	Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1 [Source:MGI Symbol;Acc:MGI:103298]	0.694894212221433	4.51478240795551	15.8336789450693	6.91604800030568e-05	0.00128335173395368
ENSMUSG00000039375	8	Wdr17	WD repeat domain 17 [Source:MGI Symbol;Acc:MGI:1924662]	-2.54857064489281	1.48926652770967	15.8170685096024	6.97702685673632e-05	0.00129295905351682
ENSMUSG00000026207	1	Speg	SPEG complex locus [Source:MGI Symbol;Acc:MGI:109282]	1.00215964581245	3.40220905849646	15.8111878200272	6.99874494394149e-05	0.0012952749700599
ENSMUSG00000057666	6	Gapdh	glyceraldehyde-3-phosphate dehydrogenase [Source:MGI Symbol;Acc:MGI:95640]	0.50808945178631	9.39682001408011	15.7894999349356	7.07943041588258e-05	0.00130848367173556
ENSMUSG00000040287	10	Stac3	SH3 and cysteine rich domain 3 [Source:MGI Symbol;Acc:MGI:3606571]	1.6151187472095	1.94993882697656	15.7851777989403	7.09562154169314e-05	0.00130975290139505
ENSMUSG00000038855	1	Itpkb	inositol 1,4,5-trisphosphate 3-kinase B [Source:MGI Symbol;Acc:MGI:109235]	-0.517088878764907	7.32619583818302	15.7810386506506	7.11116209466252e-05	0.00131089887065255
ENSMUSG00000024639	19	Gnaq	guanine nucleotide binding protein, alpha q polypeptide [Source:MGI Symbol;Acc:MGI:95776]	-0.544243012224725	7.00997267219347	15.7711372482273	7.14847625318587e-05	0.00131605040535389
ENSMUSG00000034110	5	Kctd7	potassium channel tetramerisation domain containing 7 [Source:MGI Symbol;Acc:MGI:2442265]	-0.858083489109732	3.85286654536626	15.7604205068561	7.18908506731312e-05	0.00132179421388151
ENSMUSG00000035640	10	Cbarp	calcium channel, voltage-dependent, beta subunit associated regulatory protein [Source:MGI Symbol;Acc:MGI:1354170]	0.935273096077521	3.29291071472386	15.7382934044921	7.27366674807611e-05	0.00133559734392451
ENSMUSG00000072235	15	Tuba1a	tubulin, alpha 1A [Source:MGI Symbol;Acc:MGI:98869]	-0.466573013394556	10.4789034176286	15.73291047237	7.294394151133e-05	0.00133765476032592
ENSMUSG00000032816	9	Igdcc4	immunoglobulin superfamily, DCC subclass, member 4 [Source:MGI Symbol;Acc:MGI:1858497]	0.694202123612626	4.77456975382386	15.720819625348	7.34116778495714e-05	0.00134378545876408
ENSMUSG00000030701	7	Plekhb1	pleckstrin homology domain containing, family B (evectins) member 1 [Source:MGI Symbol;Acc:MGI:1351469]	-0.531854074101007	9.88943312863739	15.7193281878859	7.34695829950032e-05	0.00134378545876408
ENSMUSG00000047638	10	Nr1h4	nuclear receptor subfamily 1, group H, member 4 [Source:MGI Symbol;Acc:MGI:1352464]	2.36820027748897	0.803542681200503	15.6471795691126	7.63263283547713e-05	0.00139422098101362
ENSMUSG00000025791	4	Pgm2	phosphoglucomutase 2 [Source:MGI Symbol;Acc:MGI:97565]	0.714591191708605	5.5257964778984	15.6426983977027	7.65074037550562e-05	0.00139571363707438
ENSMUSG00000011831	5	Evi5	ecotropic viral integration site 5 [Source:MGI Symbol;Acc:MGI:104736]	-0.537116047623192	6.96182350601344	15.6372238482509	7.6729206217056e-05	0.00139691590732936
ENSMUSG00000029673	5	Auts2	autism susceptibility candidate 2 [Source:MGI Symbol;Acc:MGI:1919847]	-0.486444970563423	6.22751116824153	15.6361645365872	7.67721990786833e-05	0.00139691590732936
ENSMUSG00000013419	9	Zfp651	zinc finger protein 651 [Source:MGI Symbol;Acc:MGI:2670992]	-0.513496119543638	6.78710470650059	15.6299590950305	7.70245382605699e-05	0.0013996942935915
ENSMUSG00000018820	19	Zfyve27	zinc finger, FYVE domain containing 27 [Source:MGI Symbol;Acc:MGI:1919602]	-0.601368060826749	5.28468564279164	15.6083427263986	7.79100839583934e-05	0.00141395729891932
ENSMUSG00000033855	17	Ston1	stonin 1 [Source:MGI Symbol;Acc:MGI:1924307]	-0.525419570520209	8.22710204347994	15.5929283258352	7.85478065838097e-05	0.00142369166333261
ENSMUSG00000029683	6	Lmod2	leiomodin 2 (cardiac) [Source:MGI Symbol;Acc:MGI:2135672]	1.61135411665244	1.85669817723571	15.5747230606928	7.93077600335936e-05	0.00143561353761841
ENSMUSG00000027195	2	Hsd17b12	hydroxysteroid (17-beta) dehydrogenase 12 [Source:MGI Symbol;Acc:MGI:1926967]	-0.465135005812512	7.75498563644157	15.5694626750021	7.95287218858099e-05	0.00143776056155723
ENSMUSG00000063297	7	Luzp2	leucine zipper protein 2 [Source:MGI Symbol;Acc:MGI:1889615]	-0.695309979229664	5.33922637674506	15.5491373861647	8.03883187521175e-05	0.00145143279371593
ENSMUSG00000032735	18	Ablim3	actin binding LIM protein family, member 3 [Source:MGI Symbol;Acc:MGI:2442582]	0.887319388790707	4.28209406062079	15.5338749786018	8.10399360047916e-05	0.00146131961625072
ENSMUSG00000024747	19	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7 [Source:MGI Symbol;Acc:MGI:1347050]	-1.64797763682076	2.26959367807146	15.5274824954946	8.13144349057213e-05	0.00146438957323162
ENSMUSG00000032911	9	Cspg4	chondroitin sulfate proteoglycan 4 [Source:MGI Symbol;Acc:MGI:2153093]	0.521755646974577	6.75515556057924	15.523219029057	8.14980317511713e-05	0.00146581671191895
ENSMUSG00000030519	7	Apba2	amyloid beta (A4) precursor protein-binding, family A, member 2 [Source:MGI Symbol;Acc:MGI:1261791]	2.476097954329	0.706388543530463	15.5002725021465	8.24933606462736e-05	0.00148182127493377
ENSMUSG00000035151	8	Elmod2	ELMO/CED-12 domain containing 2 [Source:MGI Symbol;Acc:MGI:2445165]	-0.612082205832877	5.58449370930977	15.491254800892	8.28878520228277e-05	0.0014851194903676
ENSMUSG00000027961	3	Lrrc39	leucine rich repeat containing 39 [Source:MGI Symbol;Acc:MGI:1924557]	1.52934239635589	2.29208440578419	15.491241776043	8.28884231827576e-05	0.0014851194903676
ENSMUSG00000029417	5	Cxcl9	chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]	2.06441126903995	2.39768077062527	15.4877425059128	8.30420151585768e-05	0.00148597603430895
ENSMUSG00000002980	7	Bcam	basal cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1929940]	-0.540979926790667	6.43015613835249	15.4659507805913	8.40049753811511e-05	0.0015003803964249
ENSMUSG00000030409	7	Dmpk	dystrophia myotonica-protein kinase [Source:MGI Symbol;Acc:MGI:94906]	0.717375663372572	5.13618853123514	15.4646994905657	8.40606088123013e-05	0.0015003803964249
ENSMUSG00000022964	16	Tmem50b	transmembrane protein 50B [Source:MGI Symbol;Acc:MGI:1925225]	-0.583109608662334	5.97407554636523	15.4408433546854	8.51283923870965e-05	0.0015159446522659
ENSMUSG00000036856	4	Wnt4	wingless-type MMTV integration site family, member 4 [Source:MGI Symbol;Acc:MGI:98957]	1.87075973111182	1.42773804334359	15.4386522078794	8.52271482377502e-05	0.0015159446522659
ENSMUSG00000044788	11	Fads6	fatty acid desaturase domain family, member 6 [Source:MGI Symbol;Acc:MGI:3039592]	-0.909809681382795	4.15599433772291	15.4372886801667	8.52886611451146e-05	0.0015159446522659
ENSMUSG00000032053	9	Pou2af1	POU domain, class 2, associating factor 1 [Source:MGI Symbol;Acc:MGI:105086]	3.19772526421286	0.151891655520631	15.4345272691455	8.54133737183977e-05	0.0015159446522659
ENSMUSG00000039103	3	Nexn	nexilin [Source:MGI Symbol;Acc:MGI:1916060]	1.30668564398618	4.12871548104552	15.4332258640192	8.54722121872709e-05	0.0015159446522659
ENSMUSG00000014602	1	Kif1a	kinesin family member 1A [Source:MGI Symbol;Acc:MGI:108391]	-0.520975052467884	8.62416670109635	15.4108629448215	8.64896685168652e-05	0.00153205595669156
ENSMUSG00000033065	15	Pfkm	phosphofructokinase, muscle [Source:MGI Symbol;Acc:MGI:97548]	0.647431904919687	6.31915658785256	15.3832918959612	8.7760872530734e-05	0.00155261583934411
ENSMUSG00000091264	13	Smim13	small integral membrane protein 13 [Source:MGI Symbol;Acc:MGI:2652854]	-0.567008751767462	5.52930673765678	15.3164462541174	9.09214920100885e-05	0.00160650842549146
ENSMUSG00000028032	3	Papss1	3'-phosphoadenosine 5'-phosphosulfate synthase 1 [Source:MGI Symbol;Acc:MGI:1330587]	-0.468411658143686	8.01656617010946	15.3123864709052	9.11170968107663e-05	0.00160794203379502
ENSMUSG00000031024	7	St5	suppression of tumorigenicity 5 [Source:MGI Symbol;Acc:MGI:108517]	-0.520149009031442	5.57792762667991	15.286399467577	9.23792488988354e-05	0.00162816977325212
ENSMUSG00000042246	7	Tmc7	transmembrane channel-like gene family 7 [Source:MGI Symbol;Acc:MGI:2443317]	0.568697473005345	5.41490482385055	15.2448997312259	9.44314172190821e-05	0.0016622532802963
ENSMUSG00000068735	2	Trp53i11	transformation related protein 53 inducible protein 11 [Source:MGI Symbol;Acc:MGI:2670995]	0.631947336274694	5.03358744231717	15.2227904387324	9.55433927855879e-05	0.00167972220082497
ENSMUSG00000038982	13	Bloc1s5	biogenesis of lysosomal organelles complex-1, subunit 5, muted [Source:MGI Symbol;Acc:MGI:2178598]	-0.560418725979874	5.12166278461019	15.2198032711419	9.5694637865955e-05	0.00168027822262884
ENSMUSG00000026141	1	Col19a1	collagen, type XIX, alpha 1 [Source:MGI Symbol;Acc:MGI:1095415]	-1.40709429656419	2.21787457750643	15.1777410658842	9.78500760410713e-05	0.00171598004762663
ENSMUSG00000055489	7	Ano5	anoctamin 5 [Source:MGI Symbol;Acc:MGI:3576659]	2.44168180332845	0.840615961323723	15.1371776661736	9.99749797193222e-05	0.00175105803007147
ENSMUSG00000032268	9	Tmprss5	transmembrane protease, serine 5 (spinesin) [Source:MGI Symbol;Acc:MGI:1933407]	0.506457831671185	6.45996044564696	15.1047612453167	0.00010170644567566	0.0017770277124361
ENSMUSG00000046876	13	Atxn1	ataxin 1 [Source:MGI Symbol;Acc:MGI:104783]	-0.868289802624634	4.87327152277474	15.1046821790414	0.00010171070554557	0.0017770277124361
ENSMUSG00000054934	10	Kcnmb4	potassium large conductance calcium-activated channel, subfamily M, beta member 4 [Source:MGI Symbol;Acc:MGI:1913272]	-0.825449725576875	4.0201368871544	15.0860823929622	0.000102717816072956	0.00179239399053019
ENSMUSG00000038264	9	Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A [Source:MGI Symbol;Acc:MGI:1306826]	-0.768231965144788	5.18473465588728	15.0628474395412	0.000103990015666544	0.00181234212167238
ENSMUSG00000024610	18	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	0.872117144262014	4.87315046766004	15.0209111481831	0.000106326460703204	0.00185076554336791
ENSMUSG00000025789	7	St8sia2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:106020]	0.652926693537702	4.53365786662306	15.0070570505456	0.000107109883322832	0.00186209471662849
ENSMUSG00000020758	11	Itgb4	integrin beta 4 [Source:MGI Symbol;Acc:MGI:96613]	-0.61463336840436	6.21805473122328	14.9909298307317	0.000108029167574286	0.00187575490348084
ENSMUSG00000034730	15	Adgrb1	adhesion G protein-coupled receptor B1 [Source:MGI Symbol;Acc:MGI:1933736]	1.53036841816414	2.34641594886434	14.9845649913165	0.000108394158061754	0.00187976881270797
